City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
187,San Cristobal,VE,2020-08-31 17:25:59,7.77,-72.22,86.0,58,40,20.8
188,Sechura,PE,2020-08-31 17:25:59,-5.56,-80.82,74.91,53,32,12.84
189,Celestun,MX,2020-08-31 17:23:25,20.87,-90.4,88.29,55,7,1.97
190,La Asuncion,VE,2020-08-31 17:25:59,11.03,-63.86,84.2,79,100,8.05
191,Broken Hill,AU,2020-08-31 17:26:00,-31.95,141.43,44.6,60,0,4.7
192,Ushtobe,KZ,2020-08-31 17:26:00,45.25,77.98,74.37,24,79,11.65
193,Farafenni,GM,2020-08-31 17:26:00,13.57,-15.6,87.01,71,52,7.11
194,Mersing,MY,2020-08-31 17:23:51,2.43,103.84,77.0,94,46,5.82
195,Lago Da Pedra,BR,2020-08-31 17:26:00,-4.33,-45.17,99.68,22,0,7.43
196,New Norfolk,AU,2020-08-31 17:26:01,-42.78,147.06,39.0,76,44,1.99
197,Tommot,RU,2020-08-31 17:26:01,58.96,126.29,50.54,89,89,1.19
198,Fehergyarmat,HU,2020-08-31 17:26:01,47.98,22.52,70.0,73,85,4.09
199,Buraydah,SA,2020-08-31 17:26:01,26.33,43.98,95.0,19,56,5.82
200,Cidreira,BR,2020-08-31 17:23:02,-30.18,-50.21,58.12,61,99,9.48
201,Ulladulla,AU,2020-08-31 17:26:02,-35.35,150.47,48.99,70,40,3.36
202,Iskateley,RU,2020-08-31 17:26:02,67.68,53.15,49.71,89,99,10.13
203,Annonay,FR,2020-08-31 17:21:48,45.24,4.67,71.6,46,75,14.99
204,Mahon,ES,2020-08-31 17:23:22,39.89,4.27,75.2,50,20,8.05
205,Ngaoundere,CM,2020-08-31 17:26:02,7.32,13.58,73.4,78,75,13.87
206,Hasaki,JP,2020-08-31 17:26:02,35.73,140.83,73.4,94,75,9.17
207,Yilan,TW,2020-08-31 17:24:01,24.76,121.75,81.0,94,75,5.82
208,Brae,GB,2020-08-31 17:26:03,60.4,-1.35,55.4,76,20,10.29
209,Mount Gambier,AU,2020-08-31 17:26:03,-37.83,140.77,39.2,100,76,9.17
210,Otaru,JP,2020-08-31 17:26:03,43.19,141.0,60.01,85,99,3.0
211,Vanavara,RU,2020-08-31 17:26:03,60.34,102.28,48.83,89,14,3.65
212,Souillac,MU,2020-08-31 17:23:38,-20.52,57.52,71.6,78,75,12.75
213,Huarmey,PE,2020-08-31 17:26:04,-10.07,-78.15,67.37,64,70,13.91
214,Camacha,PT,2020-08-31 17:23:27,33.08,-16.33,73.4,64,40,16.11
215,Nogales,MX,2020-08-31 17:21:47,31.31,-110.94,75.2,78,90,4.7
216,Mochudi,BW,2020-08-31 17:26:04,-24.42,26.15,60.8,72,20,16.11
217,Moose Factory,CA,2020-08-31 17:26:04,51.26,-80.61,66.2,52,1,9.17
218,Saint-Joseph,RE,2020-08-31 17:26:05,-21.37,55.62,69.8,77,30,6.93
219,San Quintin,MX,2020-08-31 17:26:04,30.48,-115.95,71.02,73,18,8.7
220,Smithers,CA,2020-08-31 17:26:05,54.78,-127.17,50.0,93,90,4.7
221,Ornskoldsvik,SE,2020-08-31 17:26:05,63.29,18.72,57.2,71,24,3.36
222,Dingle,PH,2020-08-31 17:23:09,11.0,122.67,75.31,81,100,3.44
223,Ngunguru,NZ,2020-08-31 17:26:05,-35.62,174.5,54.0,3,30,6.26
224,Xingyi,CN,2020-08-31 17:26:06,24.19,102.82,58.77,91,2,2.01
225,Pingshan,CN,2020-08-31 17:26:06,22.99,114.71,79.11,85,20,2.01
226,Kahului,US,2020-08-31 17:26:06,20.89,-156.47,77.0,69,40,9.17
227,Faanui,PF,2020-08-31 17:26:06,-16.48,-151.75,77.58,75,3,23.76
228,Adrar,MR,2020-08-31 17:26:06,20.5,-10.07,101.7,8,25,11.36
229,Comodoro Rivadavia,AR,2020-08-31 17:26:07,-45.87,-67.5,44.6,81,75,4.7
230,Rivera,UY,2020-08-31 17:26:07,-30.91,-55.55,50.47,62,100,12.21
231,Bambous Virieux,MU,2020-08-31 17:26:07,-20.34,57.76,72.0,78,75,12.75
232,Bijapur,IN,2020-08-31 17:26:07,16.83,75.7,76.08,79,44,13.56
233,Wahiawa,US,2020-08-31 17:26:08,21.5,-158.02,78.8,94,1,7.76
234,Kiunga,PG,2020-08-31 17:26:06,-6.12,141.29,73.62,99,99,2.51
235,Te Anau,NZ,2020-08-31 17:26:08,-45.42,167.72,36.93,91,100,4.36
236,Maniitsoq,GL,2020-08-31 17:26:08,65.42,-52.9,47.5,76,1,12.44
237,Sitka,US,2020-08-31 17:26:08,57.05,-135.33,57.2,87,90,14.99
238,Kieta,PG,2020-08-31 17:26:08,-6.22,155.63,79.77,78,21,4.56
239,Puerto Ayora,EC,2020-08-31 17:24:08,-0.74,-90.35,71.6,73,40,20.8
240,San-Pedro,CI,2020-08-31 17:26:09,4.75,-6.64,75.94,80,100,8.01
241,Beaverlodge,CA,2020-08-31 17:26:09,55.22,-119.44,53.6,66,75,8.05
242,Port Lincoln,AU,2020-08-31 17:26:09,-34.73,135.87,49.69,81,42,15.9
243,Krasnoselkup,RU,2020-08-31 17:23:46,65.7,82.47,50.36,89,99,13.06
244,Grand-Santi,GF,2020-08-31 17:26:10,4.25,-54.38,95.59,35,25,4.41
245,Trinidad,BO,2020-08-31 17:26:10,-14.83,-64.9,86.0,40,62,11.41
246,Vostok,RU,2020-08-31 17:26:10,46.49,135.88,45.19,98,1,4.61
247,Yulara,AU,2020-08-31 17:26:10,-25.24,130.99,62.6,36,0,6.93
248,Bubaque,GW,2020-08-31 17:26:11,11.28,-15.83,80.35,82,100,19.35
249,Sawakin,SD,2020-08-31 17:26:11,19.11,37.33,97.09,33,47,13.15
250,Sabha,LY,2020-08-31 17:26:11,27.04,14.43,98.98,9,0,11.7
251,Nantucket,US,2020-08-31 17:26:11,41.28,-70.1,69.8,60,40,12.75
252,Namibe,AO,2020-08-31 17:24:33,-15.2,12.15,64.38,69,0,10.13
253,Santa Maria,BR,2020-08-31 17:26:11,-29.68,-53.81,59.0,54,94,13.87
254,Loikaw,MM,2020-08-31 17:26:12,19.67,97.21,69.15,94,100,2.28
255,Half Moon Bay,US,2020-08-31 17:22:53,37.46,-122.43,66.99,88,75,4.7
256,Aswan,EG,2020-08-31 17:26:12,24.09,32.91,95.31,10,0,13.04
